,,,,,,,,,,,,,,,,,,,,,,,,
表5--2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)．,,,,,,,,,,,,表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续05)’,,,,,,,,,,,,
            单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
云南省,    1 250 111,    701 810,    548 301,    59 245,    40 342,    18 903,    62 973,    40 075,    22 898,,,云南省,    95 830,    49 881,    45 949,    191 265,    97 056,    94 209,    477 382,    266 409,    210 973,    363 416,    208 047,    155 369
西藏自治区,    62 225,    40 284,    21 941,    2 374,    1 706,    668,    3 567,    2 594,    973,,,西藏自治区,    6 731,    3 593,    3 138,    8 216,    5 167,    3 049,    23 530,    15 965,    7 565,    17 807,    11 259,    6 548
陕西省,    3 007 502,    1 658 189,    1 349 313,    132 167,    95 368,    36 799,    143 924,    92 211,    51 713,,,陕西省,    190 875,    103 345,    87 530,    803 128,    422 313,    380 815,    1 230 830,    683 684,    547 146,    506 578,    261 268,    245 310
甘肃省,    2 054 201,    1 186 650,    867 551,    63 738,    46 705,    17 033,    76 768,    51 110,    25 658,,,甘肃省,    120 173,    67 586,    52 587,    485 301,    258 088,    227 213,    817 463,    479 954,    337 509,        490 758,    283 207,    207 551
青海省,    462 372,    260 843,    201 529,    15 738,    11 052,    4 686,    18 167,    11 986,    6 181,,,青海省,    32 534,    17 598,    14 936,    89 634,    45 347,    44 287,    215 469,    122 962,    92 507,    90 830,    51 898,    38 932
宁夏回族自治区,    433 004,    239 822,    193 182,    16 630,    11 404,    5 226,    19 772,    12 764,    7 008,,,宁夏回族自治区,    28 053,    15 376,    12 677,    86 531,    43 101,    43 430,    204 070,    113 949,    90 121,    77 948,    43 228,    34 720
新疆维吾尔自治区,    2 036 688,    1 112 869,    923 819,    59 059,    40 261,    18 798,    95 585,    59 413,    36 172,,,新疆维吾尔自治区,    163 500,    84 293,    79 207,    452 173,    226 625,    225 548,    884 146,    494 947,    389 199,    382 225,    207 330,    174 895
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续03),,,,,,,,,,,,表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续08),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,,,,,,,,,,,,,,,,
肄业,    14 315 906,    7 812 542,    6 503 364,    46 925,    33 289,    13 636,    78 439,    55 826,    22 613,,,肄业,    63 233,    36 867,    26 366,    776 444,    492 044,    284 400,    4 565 628,    2 774 385,    1 791 243,    8 785 237,    4 420 131,    4 365 106
北京市,    330 568,    185 486,    145 082,    5 853,    3 506,    2 347,    4 944,    3 005,    1 939,,,北京市,    2 358,    1 296,    1 062,    18 543,    11 803,    6 740,    85 292,    55 141,    30 151,    213 578,    110 735,    102 843
天津市,    832 446,    454 260,    378 186,    3 837,    2 714,    1 123,    7 838,    5 863,    1 975,,,天津市,    4 098,    2 480,    1 618,    50 221,    32 510,    17 711,    286 010,    178 747,    107 263,    480 442,    231 946,    248 496
河北省,    214 652,    122 162,    92 490,    709,    521,    188,    1 352,    970,    382,,,河北省,    1 485,    824,    661,    11 485,    6 792,    4 693,    72 328,    44 086,    28 242,    127 293,    68 969,    58 324
山西省,    193 712,    110 606,    83 106,      425,    305,    120,    936,    629,    307,,,山西省,    1 087,    615,    472,    10 921,    6 742,    4 179,    73 395,    45 939,    27 456,    106 948,    56 376,    50 572
内蒙古自治区,    278 699,    152 582,    126 117,    392,    295,    97,    933,    646,    287,,,内蒙古自治区,    1 206,    679,    527,    14 866,    9 032,    5 834,    103 505,    64 648,    38 857,    157 797,    77 282,    80 515
辽宁省,    616 706,    338 542,    278 164,    1 882,    1 479,    403,    3 591,    2 561,    1 030,,,辽宁省,    2 585,    1 594,    991,    28 802,    17 187,    11 615,    200 879,    118 376,    82 503,    378 967,    197 345,    181 622
吉林省,    265 664,    142 882,    122 782,    574,    420,    154,    1 094,    730,    364,,,吉林省,    1 090,    633,    457,    12 455,    7 418,    5 037,    96 858,    56 879,    39 979,    153 593,    76 802,    76 791
黑龙江省,    552 796,    300 161,    252 635,    553,    429,    124,    1 198,    814,    384,,,黑龙江省,    1 380,    838,    542,    22 090,    13 227,    8 863,    192 154,    116 073,    76 081,    335 421,    168 780,    166 641
上海市,    282 148,    143 217,    138 931,    7 189,    4 734,    2 455,    6 534,    4 583,    1 951,,,上海市,    2 029,    1 221,    808,    24 391,    15 240,    9 151,    68 972,    42 425,    26 547,    173 033,    75 014,    98 019
江苏省,    651 360,    356 169,    295 191,    2 404,    1 767,    637,    4 608,    3 381,    1 227,,,江苏省,    3 312,    2 064,    1 248,    38 249,    25 316,    12 933,    194 953,    121 623,    73 330,    407 834,    202 018,    205 816
浙江省,    977 406,    548 177,    429 229,    1 533,    1 115,    418,    3 794,    2 718,    1 076,,,浙江省,    2 561,    1 500,    1 061,    39 879,    25 294,    14 585,    287 239,    175 062,    112 177,    642 400,    342 488,    299 912
安徽省,    515 741,    292 933,    222 808,    1 198,    949,    249,    1 834,    1 408,    426,,,安徽省,    1 534,    932,    602,    23 386,    15 696,    7 690,    156 241,    99 474,    56 767,    331 548,    174 474,    157 074
福建省,    540 700,    295 368,    245 332,    1 349,    1 042,    307,    2 223,    1 672,    551,,,福建省,    1 540,    882,    658,    41 458,    27 363,    14 095,    178 003,    113 022,    64 981,    316 127,    151 387,    164 740
江西省,    644 711,      338 010,    306 701,    784,    634,    150,    1 715,    1 276,    439,,,江西省,    1 810,    1 063,    747,    32 388,    20 776,    11 612,    195 418,    118 126,    77 292,    412 596,    196 135,    216 461
山东省,    673 089,    338 245,    334 844,    1 058,    773,    285,    2 838,    2 135,    703,,,山东省,    2 798,    1 721,    1 077,    30 184,    19 665,    10 519,    198 956,    117 835,    81 121,    437 255,    196 116,      241 139
河南省,    240 115,    137 626,    102 489,    886,    621,    265,    2 358,    1 616,    742,,,河南省,    2 497,    1 391,    1 106,    28 353,    17 202,    11 151,    97 639,    60 290,    37 349,    108 382,    56 506,    51 876
湖北省,    760 182,    405 680,        354 502,    1 829,    1 318,    511,    4 436,    3 188,    1 248,,,湖北省,    3 618,    2 042,    1 576,    52 409,    34 188,    18 221,    274 913,    165 358,    109 555,    422 977,    199 586,    223 391
湖南省,    744 554,    414 304,    330 250,    1 654,    1 279,    375,    4 298,    3 064,    1 234,,,湖南省,    4 097,    2 304,    1 793,    64 660,    39 543,    25 117,    294 379,    170 010,    124 369,    375 466,    198 104,    177 362
广东省,    1 812 879,    921 094,    891 785,    3 064,    2 272,    792,    6 871,    4 897,    1 974,,,广东省,    4 701,    2 909,    1 792,    87 266,    58 677,    28 589,    543 170,    309 261,    233 909,    1 167 807,    543 078,    624 729
广西壮族自治区,    221 383,    121 172,    100 211,    625,    484,    141,    1 481,    1 075,    406,,,广西壮族自治区,    1 171,    680,    491,    11 982,    7 752,    4 230,    69 530,    42 991,    26 539,    136 594,    68 190,    68 404
海南省,    66 174,    35 321,    30 853,    72,    58,    14,    407,    325,    82,,,海南省,    256,    165,    91,    4 672,    3 116,    1 556,    23 087,    14 155,    8 932,    37 680,    17 502,    20 178
四川省,    1 555 889,    865 530,    690 359,    5 330,    3 810,    1 520,        7 255,    5 116,    2 139,,,四川省,    8 869,    4 932,    3 937,    63 334,    37 747,    25 587,    487 821,    294 997,    192 824,    983 280,    518 928,    464 352
贵州省,    460 791,    284 154,    176 637,    876,    625,    251,    1 200,    837,    363,,,贵州省,    1 597,    916,    681,    15 646,    10 100,    5 546,    118 082,    81 695,    36 387,    323 390,    189 981,    133 409
云南省,    231 014,    134 480,    96 534,    737,    555,    182,    1 154,    794,    360,,,云南省,    1 058,    613,    445,    9 051,    5 581,    3 470,    71 298,    44 717,    26 581,    147 716,    82 220,    65 496
西藏自治区,    17 992,    11 090,    6 902,    30,    26,    4,    89,    76,    13,,,西藏自治区,    179,    127,    52,    613,    447,    166,    3 720,    2 562,    1 158,    13 361,    7 852,    5 509
陕西省,    141 231,    79 392,    61 839,    746,    539,    207,    1 314,    891,    423,,,陕西省,    1 218,    659,    559,    11 536,    6 868,    4 668,    50 164,    30 796,    19 368,    76 253,    39 639,    36 614
甘肃省,    191 168,    109 256,    81 912,    435,    312,    123,    584,    432,        152,,,甘肃省,    659,    370,    289,    8 736,    5 581,    3 155,    43 901,    29 423,    14 478,    136 853,    73 138,    63 715
青海省,    40 748,    24 493,    16 255,    196,    154,    42,    164,    124,    40,,,青海省,    300,    156,    144,    2 729,    1 654,    1 075,    11 976,    7 767,    4 209,    25 383,    14 638,    10 745
宁夏回族自治区,    44 783,    25 849,    18 934,    107,    83,    24,    232,    170,    62,,,宁夏回族自治区,    205,    105,    100,    2 774,    1 630,    1 144,    15 361,    9 582,    5 779,    26 104,    14 279,    11 825
新疆维吾尔自治区,    216 605,    124 301,    92 304,    598,    470,    128,    1 164,    830,    334,,,新疆维吾尔自治区,    1 935,    1 156,    779,    13 365,    7 897,    5 468,    70 384,    43 325,    27 059,    129 159,    70 623,    58 536
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续04),,,,,,,,,,,,表5-2省、自治区、直辖市的市分性别和学业完成状况的各种文化程度人口数(第二口径)(续09),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
其它,    1 914 362,    1 205 418,    708 944,    14 977,    10 496,    4 481,    175 476,    109 024,    66 452,,,其它,    45 981,    25 512,    20 469,    51 718,    37 965,    13 753,    181 880,    142 856,    39 024,    1 444 330,    879 565,    564 765
北京市,    39 407,    23 054,    16 353,    958,    554,    404,    6 743,    3 283,    3 460,,,北京市,    1 157,    520,    637,    1 262,    840,    422,    4 610,    3 351,    1 259,    24 677,    14 506,    10 171
天津市,    38 063,    28 814,    9 249,    210,    130,    80,    3 029,    1 679,    1 350,,,天津市,    598,    290,    308,    2 587,    2 327,    260,    8 448,    7 308,    1 140,    23 191,    17 080,    6 111
河北省,    15 696,    10 268,    5 428,      260,    189,    71,    4 042,    2 591,    1 451,,,河北省,    934,    444,    490,    443,    280,    163,    1 370,    995,    375,    8 647,    5 769,    2 878
山西省,    6 052,    3 501,    2 551,    196,    120,    76,    1 880,    1 060,    820,,,山西省,    594,    274,    320,    236,    156,    80,    576,    416,    160,    2 570,    1 475,    1 095
内蒙古自治区,    31 723,    21 992,    9 731,    269,    167,    102,    1 845,    1 014,    831,,,内蒙古自治区,    663,    332,    331,    859,    652,    207,    4 071,    3 281,    790,    24 016,    16 546,    7 470
辽宁省,    85 808,    51 477,    34 331,    1 383,    905,    478,    11 496,    6 671,    4 825,,,辽宁省,    2 521,    1 294,    1 227,    2 563,    1 572,    991,    5 898,    4 283,    1 615,    61 947,    36 752,    25 195
吉林省,    16 807,    10 065,    6 742,    484,    296,    188,    2 965,    1 718,    1 247,,,吉林省,    772,    347,    425,    697,    466,    231,    2 003,    1 329,    674,    9 886,    5 909,    3 977
黑龙江省,    24 658,    14 499,    10 159,    800,    483,    317,    5 693,    3 073,    2 620,,,黑龙江省,    2 050,    976,    1 074,    858,    562,    296,    3 343,    2 275,    1 068,    11 914,    7 130,    4 784
上海市,    41 514,    21 015,    20 499,    650,    439,    211,    3 212,    2 124,    1 088,,,上海市,    590,    289,    301,    1 325,    913,    412,    5 590,    3 615,    1 975,    30 147,    13 635,    16 512
江苏省,    240 307,    154 278,    86 029,    1 992,    1 546,    446,    35 768,    24 995,    10 773,,,江苏省,    7 994,    5 053,    2 941,    12 816,    8 814,    4 002,    27 207,    21 683,    5 524,    154 530,    92 187,    62 343
浙江省,    117 575,    69 858,    47 717,    286,    217,    69,    4 124,    2 532,    1 592,,,浙江省,    913,    511,    402,    2 378,    1 806,    572,    11 589,    8 706,    2 883,    98 285,    56 086,    42 199
安徽省,    59 739,    39 417,    20 322,    526,    396,    130,    7 290,    4 816,    2 474,,,安徽省,    2 177,    1 284,    893,    1 790,    1 503,    287,    7 658,    6 421,    1 237,    40 298,    24 997,    15 301
福建省,    77 697,    45 174,    32 523,    357,    257,    100,    4 226,    2 744,    1 482,,,福建省,    1 249,    619,    630,    1 647,    1 225,    422,    6 592,    4 931,    1 661,    63 626,    35 398,    28 228
江西省,    58 620,    39 890,    18 730,    261,    208,    53,    2 722,    1 811,    911,,,江西省,    783,    506,    277,    1 875,    1 490,    385,    7 331,    5 936,    1 395,    45 648,    29 939,    15 709
山东省,    120 441,    69 939,    50 502,    835,    634,    201,    7 917,    4 857,    3 060,,,山东省,    2 902,    1 661,    1 241,    1 504,    1 200,    304,    6 507,    5 528,    979,    100 776,    56 059,    44 717
河南省,    46 118,    27 476,    18 642,    940,    645,    295,    11 418,    6 411,    5 007,,,河南省,    2 516,    1 400,    1 116,    1 252,    917,    335,    4 265,    3 330,    935,    25 727,    14 773,    10 954
湖北省,        223 137,    151 186,    71 951,    847,    626,    221,    11 109,    7 106,    4 003,,,湖北省,    4 004,    2 314,    1 690,    4 276,    3 421,    855,    22 753,    18 563,    4 190,    180 148,    119 156,    60 992
湖南省,    112 078,    71 082,    40 996,    1 030,    738,    292,    12 640,    7 783,    4 857,,,湖南省,    3 914,    2 229,    1 685,    4 076,    3 032,    1 044,    13 248,    10 376,    2 872,    77 170,    46 924,    30 246
广东省,    200 503,      113 714,    86 789,    1 475,    1 072,    403,    21 593,    13 291,    8 302,,,广东省,    5 004,    2 700,    2 304,    3 150,    2 081,    1 069,    9 534,    6 705,    2 829,    159 747,    87 865,    71 882
广西壮族自治区,    14 739,    9 238,    5 501,    169,    125,    44,    3 245,    2 058,    1 187,,,广西壮族自治区,    715,    342,    373,    333,    238,    95,    1 140,    810,    330,    9 137,    5 665,    3 472
海南省,    1 497,    904,    593,    18,    13,    5,    319,    214,    105,,,海南省,    62,    33,    29,    49,    40,    9,    191,    134,    57,    858,    470,    388
四川省,    240 019,    169 647,    70 372,    373,    258,    115,    4 396,    2 653,    1 743,,,四川省,    1 618,    985,    633,    3 275,    2 665,    610,    18 633,    15 744,    2 889,    211 724,    147 342,    64 382
贵州省,    41 095,    21 470,    19 625,    206,    145,    61,    2 417,    1 295,    1 122,,,贵州省,    584,    239,    345,    907,    675,    232,    3 838,    3 017,    821,    33 143,    16 099,    17 044
云南省,    12 119,    7 983,    4 136,    66,    48,    18,    860,    534,    326,,,云南省,    264,    168,    96,    303,    232,    71,    1 473,    1 089,    384,    9 153,    5 912,    3 241
西藏自治区,    2 177,    1 600,    577,        16,    13,    3,    48,    37,    11,,,西藏自治区,    57,    46,    11,    75,    66,    9,    245,    192,    53,    1 736,    1 246,    490
陕西省,    12 734,    7 441,    5 293,    210,    154,    56,    1 892,    1 126,    766,,,陕西省,    307,    154,    153,    356,    234,    122,    1 043,    754,    289,    8 926,    5 019,    3 907
甘肃省,    9 424,    5 043,    4 381,    42,    29,    13,    533,    333,    200,,,甘肃省,    154,    93,    61,    180,    119,    61,    677,    549,    128,    7 838,    3 920,    3 918
青海省,    1 739,        1 062,    677,    9,    8,    1,    96,    61,    35,,,青海省,    32,    15,    17,    64,    50,    14,    254,    185,    69,    1 284,    743,    541
宁夏回族自治区,    1 234,    698,    536,    13,    7,    6,    260,    153,    107,,,宁夏回族自治区,    72,    17,    55,    51,    32,    19,    162,    105,    57,    676,        384,    292
新疆维吾尔自治区,    21 642,    13 633,    8 009,    96,    74,    22,    1 698,    1 001,    697,,,新疆维吾尔自治区,    781,    377,    404,    531,    357,    174,    1 631,    1 245,    386,    16 905,    10 579,    6 326
